院校,专业名,类别,选科要求,计划数
浙江外国语学院,日语,文学,,15
浙江外国语学院,朝鲜语,文学,,5
浙江外国语学院,意大利语,文学,,5
浙江水利水电学院,水利水电工程,,物理、化学,10
浙江水利水电学院,港口航道与海岸工程,,物理、化学,10
浙江水利水电学院,给排水科学与工程,,物理、化学,10
浙江水利水电学院,环境生态工程,,物理、化学,10
浙江水利水电学院,土木工程,,物理、化学,10
浙江水利水电学院,道路桥梁与渡河工程,,物理、化学,10
浙江水利水电学院,测绘工程,,物理、化学,10
浙江水利水电学院,遥感科学与技术,,物理、化学,10
浙江水利水电学院,材料成型及控制工程,,物理、化学,10
浙江水利水电学院,新能源科学与工程,,物理、化学,10
浙江警察学院,数据警务技术,全省统招,物理、化学,0
浙江警察学院,治安学,分市-公安学类,政治,0
浙江警察学院,侦查学,分市-公安学类,政治,0
浙江警察学院,涉外警务,分市-公安学类,政治,0
浙江警察学院,经济犯罪侦查,分市-公安学类,政治,0
浙江警察学院,警务指挥与战术,分市-公安学类,政治,0
浙江警察学院,刑事科学技术,分市-公安技术类,物理、化学,0
浙江警察学院,交通管理工程（智能交通方向）,分市-公安技术类,物理、化学,0
浙江警察学院,网络安全与执法,分市-公安技术类,物理、化学,0
杭州医学院,临床医学,普通类,物理、化学,15
杭州医学院,医学信息工程,普通类,物理、化学,15
丽水学院,小学教育(师范),教育学,,40
丽水学院,学前教育(师范),教育学,,40
丽水学院,民族学,法学,历史,20
嘉兴南湖学院,机械设计制造及其自动化,工学,物理、化学,15
嘉兴南湖学院,土木工程,工学,物理、化学,15
嘉兴南湖学院,化学工程与工艺,工学,物理、化学,15
嘉兴南湖学院,工业设计,工学,物理、化学,15
温州肯恩大学,经济学（中外合作办学）,A组,,11
温州肯恩大学,金融学（中外合作办学）（国际金融方向）,A组,,15
温州肯恩大学,国际商务（中外合作办学）,A组,,8
温州肯恩大学,会计学（中外合作办学）（国际会计方向）,A组,,18
温州肯恩大学,市场营销（中外合作办学）（国际方向）,A组,,6
温州肯恩大学,英语（中外合作办学）,A组,,8
温州肯恩大学,心理学（中外合作办学）,A组,,8
温州肯恩大学,传播学（中外合作办学）,A组,,14
温州肯恩大学,建筑学（中外合作办学）,A组,,10
温州肯恩大学,管理科学（中外合作办学）,B组,物理,7
温州肯恩大学,生物科学（中外合作办学）（细胞与分子方向）,B组,物理、化学,10
温州肯恩大学,数学与应用数学（中外合作办学）（数据分析方向）,B组,物理、化学,9
温州肯恩大学,计算机科学与技术（中外合作办学）,B组,物理、化学,18
温州肯恩大学,化学（中外合作办学）,B组,物理、化学,4
温州肯恩大学,环境科学（中外合作办学）,B组,物理、化学,4
宁波诺丁汉大学,国际商务(中外合作办学),管理学,,25
宁波诺丁汉大学,财务管理(中外合作办学),管理学,,10
宁波诺丁汉大学,经济学(中外合作办学),经济学,,2
宁波诺丁汉大学,国际事务与国际关系(中外合作办学),法学,政治,14
宁波诺丁汉大学,传播学(中外合作办学),文学,,25
宁波诺丁汉大学,英语(中外合作办学),文学,,20
宁波诺丁汉大学,建筑学(中外合作办学),工学,,13
宁波诺丁汉大学,化学(中外合作办学)(2+2),理学,物理、化学,9
宁波诺丁汉大学,数学与应用数学(中外合作办学),理学,物理、化学,10
宁波诺丁汉大学,统计学(中外合作办学),理学,物理、化学,2
宁波诺丁汉大学,电气类(中外合作办学),工学,物理、化学,70
浙江越秀外国语学院,日语,文学,,8
浙江越秀外国语学院,朝鲜语,文学,,6
浙江越秀外国语学院,泰语,文学,,6
浙江越秀外国语学院,大数据管理与应用(中外合作办学),管理学,物理,40
浙江越秀外国语学院,网络与新媒体(中外合作办学),文学,,60
宁波财经学院,财务管理(家族财富管理),管理学,,30
宁波财经学院,创业管理,管理学,,35
宁波财经学院,文化产业管理,管理学,,25
宁波财经学院,国际经济与贸易(大宗商品交易),经济学,,25
宁波财经学院,戏剧影视文学,艺术学,,30
宁波财经学院,广播电视编导(中韩2+2学分互认班),艺术学,,30
宁波财经学院,工业设计,工学,物理、化学,25
温州商学院,金融学,经济学,,40
温州商学院,会计学,管理学,,40
温州商学院,市场营销,管理学,,25
温州商学院,英语,文学,,45
温州商学院,商务英语,文学,,40
温州商学院,计算机类(计算机科学与技术、数据科学与大数据技术),工学,物理、化学,55
温州商学院,新闻传播学类(广告学、传播学、网络与新媒体),文学,,55
复旦大学,专业组1（文科类）,文科类,,55
复旦大学,专业组2（理工类）,理工类,物理、化学,85
复旦大学,专业组3（数学英才班）,理工类,物理、化学,5
复旦大学,医学专业组1（临床医学类）,医学类,物理、化学,40
复旦大学,医学专业组2（其他医学类）,医学类,物理、化学,20
上海交通大学,校本部理科专业组,理工类,物理、化学,244
上海交通大学,校本部文科专业组,文科类,,11
上海交通大学,医学理科专业组,医学类,物理、化学,40
浙江大学,人工智能,理工类,物理、化学,8
浙江大学,工业设计,理工类,物理、化学,7
浙江大学,机器人工程(荣誉项目班),理工类,物理、化学,5
浙江大学,光电信息科学与工程,理工类,物理、化学,12
浙江大学,自动化,理工类,物理、化学,10
浙江大学,信息工程,理工类,物理、化学,12
浙江大学,电子科学与技术,理工类,物理、化学,10
浙江大学,微电子科学与工程,理工类,物理、化学,8
浙江大学,生物医学工程,理工类,物理、化学,30
浙江大学,工程力学,理工类,物理、化学,16
浙江大学,飞行器设计与工程,理工类,物理、化学,20
浙江大学,过程装备与控制工程,理工类,物理、化学,15
浙江大学,车辆工程,理工类,物理、化学,8
浙江大学,能源与环境系统工程,理工类,物理、化学,20
浙江大学,土木、水利与交通工程,理工类,物理、化学,30
浙江大学,城乡规划,理工类,物理、化学,5
浙江大学,建筑学,理工类,物理、化学,9
浙江大学,材料科学与工程,理工类,物理、化学,18
浙江大学,化学工程与工艺,理工类,物理、化学,30
浙江大学,生物工程,理工类,物理、化学,8
浙江大学,高分子材料与工程,理工类,物理、化学,12
浙江大学,机械工程,理工类,物理、化学,6
浙江大学,物理学,理工类,物理、化学,15
浙江大学,心理学,理工类,物理、化学,24
浙江大学,化学,理工类,物理、化学,25
浙江大学,生物科学,理工类,物理、化学,10
浙江大学,生态学,理工类,物理、化学,7
浙江大学,地理信息科学,理工类,物理、化学,10
浙江大学,大气科学,理工类,物理、化学,16
浙江大学,地质学,理工类,物理、化学,22
浙江大学,环境科学,理工类,物理、化学,11
浙江大学,环境工程,理工类,物理、化学,11
浙江大学,海洋工程与技术,理工类,物理、化学,12
浙江大学,海洋科学,理工类,物理、化学,11
浙江大学,电子与计算机工程(中外合作办学),理工类,物理、化学,20
浙江大学,电气工程及其自动化(中外合作办学),理工类,物理、化学,20
浙江大学,土木工程(中外合作办学),理工类,物理、化学,40
浙江大学,机械工程(中外合作办学),理工类,物理、化学,30
